   line             element
   5048.057         Ni II    
   5048.0573        Ni I     
   5048.0906        Fe I     
   5048.1521        Fe I     
   5048.167         Ne II    
   5048.18          N IV     
   5048.1806        Fe I     
   5048.202         Ni II    
   5048.2352        Ni I     
   5048.258         Ni II    
   5048.397         Ca I     
   5048.435         Fe II    
   5048.4358        Fe I     
   5048.516         Ni II    
   5048.54          N IV     
   5048.54          N IV     
   5048.54          N IV     
   5048.6709        Fe I     
   5048.768         Ni II    
   5048.8114        Ar I     
   5048.8263        Ar II    
   5048.84          Ar I     
   5048.8471        Ni I     
   5048.875         Ni II    
   5048.9531        Fe I     
   5049.0           C III    
   5049.04          C I      
   5049.156         C I      
   5049.169         Ni II    
   5049.235         Ni II    
   5049.243         C II     
   5049.416         Ni II    
   5049.51          O II     
   5049.6           Si V     
   5049.70          O II     
   5049.8198        Fe I     
   5049.870         O III    
   5049.9           S I      
   5049.9           S I      
   5049.93          Al I     
   5050.            Fe XVI   
   5050.018         Ca I     
   5050.026         Ni II    
   5050.03          Ar I     
   5050.089         Ca III   
   5050.12          Ar I     
   5050.141         Fe II    
   5050.2           C V      
   5050.2           C V      
   5050.2           C V      
   5050.2           C V      
   5050.2           C V      
   5050.2           C V      
   5050.202         Ni II    
   5050.250         Ni II    
   5050.333         Fe II    
   5050.334         Ni II    
   5050.4           Ca I     
   5050.456         Ca I     
   5050.566         Ni II    
   5050.669         Ne I     
   5051.2586        Fe I     
   5051.2767        Fe I     
   5051.404         Ni II    
   5051.419         Ca I     
   5051.5079        Ni I     
   5051.52          N IV     
   5051.5304        Fe I     
   5051.6348        Fe I     
   5051.797         Ni II    
   5051.857         Ca I     
   5051.8587        Fe I     
   5051.9           C III    
   5051.9           Ca I     
   5052.1           O III    
   5052.167         C I      
   5052.195         Ni II    
   5052.2           S I      
   5052.2           S I      
   5052.2           S I      
   5052.2           S I      
   5052.2           S I      
   5052.26          Ar I     
   5052.54          Ar I     
   5052.72          Ar I     
   5052.829         Ca I     
   5052.87          Ar I     
   5052.9           Mg I     
   5052.9407        Ne I     
   5052.9485        Ar II    
   5052.9817        Fe I     
   5052.997         Ni II    
   5053.050         Ni II    
   5053.12          Al I     
   5053.12          Al I     
   5053.2           Ne IV    
   5053.26          Ar I     
   5053.26780       Ar II    
   5053.2984        Ni I     
   5053.5           Ca I     
   5053.515         C I      
   5053.59          N IV     
   5053.61          Ar I     
   5053.804         Ni II    
   5053.845         Ni II    
   5053.942         Ni II    
   5053.97          Ar I     
   5053.988         Ni II    
   5054.1           Ca I     
   5054.15          Ar I     
   5054.1760        Ar I     
   5054.226         Fe III   
   5054.24963       Ar II    
   5054.255         Fe II    
   5054.33          Ar I     
   5054.3707        Fe I     
   5054.58          Ar I     
   5054.58          Ar I     
   5054.59          N III    
   5054.62          C I      
   5054.6426        Fe I     
   5054.76          N IV     
   5054.76          N IV     
   5054.79          Ar I     
   5054.8           C IV     
   5054.8           C IV     
   5054.847         Fe III   
   5054.954         Ca I     
   5054.99          Fe III   
   5054.99          Fe III   
   5055.0           Ne IV    
   5055.077         Ar III   
   5055.087         Ni II    
   5055.120         Ni II    
   5055.2           O IV     
   5055.22          Ar I     
   5055.3187        Fe II    
   5055.393         Ca I     
   5055.46          Ar I     
   5055.5           Ca I     
   5055.573         Ni II    
   5055.6           S I      
   5055.6           S I      
   5055.6           S I      
   5055.69          Ar I     
   5055.731         Fe IV    
   5055.8039        Fe I     
   5055.984         Si II    
   5056.0           Mg V     
   5056.02          Ar I     
   5056.17          Ar I     
   5056.194         Ni II    
   5056.317         Si II    
   5056.42          Ar III   
   5056.43          Ar I     
   5056.435         Ca I     
   5056.5286        Ar I     
   5056.6           O III    
   5056.70          Ca III   
   5056.71          Ar I     
   5056.833         Ne II    
   5056.838         Ne II    
   5056.843         Ne II    
   5056.849         Ne II    
   5056.88          Ar I     
   5056.97          Ar I     
   5057.023         Ca I     
   5057.09          Ar I     
   5057.1100        Fe I     
   5057.112         Ni II    
   5057.120         Ni II    
   5057.1538        Fe I     
   5057.171         Ni II    
   5057.217         Ni II    
   5057.27          Ar I     
   5057.4           Ca I     
   5057.462         Ca I     
   5057.4813        Fe I     
   5057.53          Ar I     
   5057.56          C I      
   5057.5716        Fe II    
   5057.598         C I      
   5057.629         Fe III   
   5057.680         C I      
   5057.83          Ar I     
   5058.07          Ar I     
   5058.079         O II     
   5058.102         Ni III   
   5058.376         Ni II    
