      wl    A1  A2  A3
      #microns
       5416.8059   3.5101213e-05   3.5101213e-05   6.5351819e-05
       5541.2103   3.4511186e-05   3.4511186e-05   6.4166779e-05
       5668.4718   3.3862206e-05   3.3862206e-05   6.3086620e-05
       5798.6561   3.3267709e-05   3.3267709e-05   6.1903125e-05
       5931.8302   3.2671915e-05   3.2671915e-05   6.0815742e-05
       6068.0629   3.2076964e-05   3.2076964e-05   5.9730889e-05
       6207.4243   3.1484502e-05   3.1484502e-05   5.8653505e-05
       6349.9864   3.0978452e-05   3.0978452e-05   5.7667677e-05
       6495.8226   3.0390149e-05   3.0390149e-05   5.6585224e-05
       6645.0081   2.9899958e-05   2.9899958e-05   5.5599937e-05
       6797.6199   2.9306102e-05   2.9306102e-05   5.4518309e-05
       6953.7366   2.8810658e-05   2.8810658e-05   5.3531975e-05
       7113.4387   2.8216003e-05   2.8216003e-05   5.2548009e-05
       7276.8087   2.7721884e-05   2.7721884e-05   5.1565652e-05
       7443.9306   2.7228068e-05   2.7228068e-05   5.0656137e-05
       7614.8908   2.6734339e-05   2.6734339e-05   4.9668678e-05
       7789.7772   2.6238273e-05   2.6238273e-05   4.8776546e-05
       7968.6802   2.5688347e-05   2.5688347e-05   4.7832521e-05
       8151.6919   2.5249592e-05   2.5249592e-05   4.6948774e-05
       8338.9068   2.4756444e-05   2.4756444e-05   4.6012890e-05
       8530.4213   2.4261157e-05   2.4261157e-05   4.5122314e-05
       8726.3341   2.3767331e-05   2.3767331e-05   4.4301995e-05
       8926.7464   2.3273046e-05   2.3273046e-05   4.3446092e-05
       9131.7615   2.2877809e-05   2.2877809e-05   4.2555617e-05
       9341.4850   2.2383990e-05   2.2383990e-05   4.1767983e-05
       9556.0250   2.1989045e-05   2.1989045e-05   4.0878090e-05
       9775.4923   2.1493873e-05   2.1493873e-05   4.0087746e-05
       10000.000   2.1100001e-05   2.1100001e-05   3.9300001e-05

